Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,,,,,Course Tally,,,,,,,,
,,,,2025-2026,,,,,,,,,
Page 1,,,,,,,,,,,,"April 29, 2025",
,Number,Description,Department,,,Lvl,Primary,Alternate,Total,,Enrollment Max,,Section Count
,ACAL-12---,AP CALCULUS AB 12 external credential,Mathematics,,,Regular,29,,29,,29,,1.0
,,,,,,,,0,,,,,
,ACSC-2A---,AP COMPUTER SCIENCE A 12,Information Tech,,,Regular,22,,22,,24,,1.0
,,,,,,,,0,,,,,
,AELC-12---,AP ENGLISH LITERATURE & COMPOSITION 12,English,,,Regular,24,,24,,24,,1.0
,,,,,,,,0,,,,,
,APHM-12---,AP PHYSICS C (MECHANICS) 12 external credential,Sciences,,,Regular,19,,23,,23,,1.0
,,,,,,,,4,,,,,
,ASTA-12---,AP STATISTICS 12,Mathematics,,,Regular,55,,62,,29,,1.0
,,,,,,,,7,,,,,
,MAC--11---,ACCOUNTING 11,Business Education,,,Regular,49,,80,,29,,3.0
,,,,,,,,31,,,,,
,MACC-12---,ACCOUNTING 12,Business Education,,,Regular,23,,32,,29,,3.0
,,,,,,,,9,,,,,
,MACLV11---,ACTIVE LIVING 11,Physical Education,,,Regular,19,,34,,29,,2.0
,,,,,,,,15,,,,,
,MACLV12---,ACTIVE LIVING 12,Physical Education,,,Regular,23,,36,,29,,2.0
,,,,,,,,13,,,,,
,MADD-09---,ADST - Drafting 9,Applied Skills,,,Regular,36,,66,,24,,3.0
,,,,,,,,30,,,,,
,MADEM10---,ADST – ENTREPRENEURSHIP AND MARKETING 10,Applied Skills,,,Regular,77,,150,,29,,3.0
,,,,,,,,73,,,,,
,MADER09---,ADST - Electronics and Robotics,Applied Skills,,,Regular,35,,73,,24,,3.0
,,,,,,,,38,,,,,
,MADGE09---,ADST 9 - General Explorations (Modules),Applied Skills,,,Regular,70,,104,,24,,6.0
,,,,,,,,34,,,,,
,MADIT09---,ADST-Information and Communications Technologies 9,Applied Skills,,,Regular,74,,92,,24,,3.0
,,,,,,,,18,,,,,
,MADT-09---,ADST - Textiles 9,Applied Skills,,,Regular,20,,36,,23,,3.0
,,,,,,,,16,,,,,
,MADW-09---,ADST - Woodwork 9,Applied Skills,,,Regular,28,,51,,21,,2.0
,,,,,,,,23,,,,,
Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,,,,,Course Tally,,,,,,,,
,,,,2025-2026,,,,,,,,,
Page 2,,,,,,,,,,,,"April 29, 2025",
,Number,Description,Department,,,Lvl,Primary,Alternate,Total,,Enrollment Max,,Section Count
,MATPH12---,ANATOMY AND PHYSIOLOGY 12,Science,,,Regular,105,,115,,23,,4.0
,,,,,,,,10,,,,,
,MBSP-11---,INTRODUCTORY SPANISH 11,Modern Languages,,,Regular,22,,30,,29,,2.0
,,,,,,,,8,,,,,
,MCALC12---,CALCULUS 12,Mathematics,,,Regular,74,,86,,29,,2.0
,,,,,,,,12,,,,,
,MCH--11---,CHEMISTRY 11,Science,,,Regular,172,,178,,23,,8.0
,,,,,,,,6,,,,,
,MCH--12---,CHEMISTRY 12,Science,,,Regular,118,,130,,23,,5.0
,,,,,,,,12,,,,,
,MCLC-12---,CAREER LIFE CONNECTIONS,Career Preparation,,,Regular,4,,4,,10,,1.0
,,,,,,,,0,,,,,
,MCLC-12--L,CAREER LIFE CONNECTIONS Linear,Career Preparation,,,Regular,201,,201,,300,,1.0
,,,,,,,,0,,,,,
,MCLE-10---,CAREER LIFE EDUCATION 10,Career Preparation,,,Regular,153,,154,,29,,5.0
,,,,,,,,1,,,,,
,MCLE-10--L,CAREER LIFE EDUCATION 10 Linear,Career Preparation,,,Regular,32,,32,,29,,1.0
,,,,,,,,0,,,,,
,MCMCC11--L,CHORAL MUSIC 11: CONCERT CHOIR Linear,Music,,,Regular,12,,12,,50,,1.0
,,,,,,,,0,,,,,
,MCMCL12---,COMPARATIVE CULTURES 12,Social Studies,,,Regular,32,,40,,24,,2.0
,,,,,,,,8,,,,,
,MCMPS10---,COMPOSITION 10,English,,,Regular,42,,42,,24,,2.0
,,,,,,,,0,,,,,
,MCMPS10C--,COMPOSITION 10 Challenge,English,,,Regular,45,,45,,24,,2.0
,,,,,,,,0,,,,,
,MCMPS11---,COMPOSITION 11,English,,,Regular,196,,196,,24,,8.0
,,,,,,,,0,,,,,
,MDCF-10---,DANCE FOUNDATIONS 10,Fine Arts,,,Regular,5,,9,,29,,1.0
,,,,,,,,4,,,,,
,MDCF-11---,DANCE FOUNDATIONS 11,Fine Arts,,,Regular,4,,7,,29,,1.0
,,,,,,,,3,,,,,
,MDCF-12---,DANCE FOUNDATIONS 12,Fine Arts,,,Regular,1,,5,,29,,1.0
,,,,,,,,4,,,,,
Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,,,,,Course Tally,,,,,,,,
,,,,2025-2026,,,,,,,,,
Page 3,,,,,,,,,,,,"April 29, 2025",
,Number,Description,Department,,,Lvl,Primary,Alternate,Total,,Enrollment Max,,Section Count
,MDMD-12D--,3D ANIMATION 12,Information Tech,,,Regular,22,,42,,24,,1.0
,,,,,,,,20,,,,,
,MDNC-09C-L,DANCE 9 Choreography Linear,Fine Arts,,,Regular,9,,9,,29,,1.0
,,,,,,,,0,,,,,
,MDNC-09F--,DANCE 9 Foundations,Fine Arts,,,Regular,15,,18,,29,,1.0
,,,,,,,,3,,,,,
,MDNC-09H--,DANCE 9 HIP HOP,Fine Arts,,,Regular,8,,12,,29,,1.0
,,,,,,,,4,,,,,
,MDNC-09M-L,DANCE 9 Company: Platform 61 Linear,Fine Arts,,,Regular,9,,9,,29,,1.0
,,,,,,,,0,,,,,
,MDNC-09PT-,DANCE 9 Performance and Technique,Fine Arts,,,Regular,3,,4,,29,,1.0
,,,,,,,,1,,,,,
,MDNC-10--L,DANCE 10: CHOREOGRAPHY Linear,Fine Arts,,,Regular,14,,14,,29,,1.0
,,,,,,,,0,,,,,
,MDNC-11--L,DANCE 11: CHOREOGRAPHY Linear,Fine Arts,,,Regular,15,,15,,29,,1.0
,,,,,,,,0,,,,,
,MDNC-12--L,DANCE 12: CHOREOGRAPHY Linear,Fine Arts,,,Regular,18,,18,,29,,1.0
,,,,,,,,0,,,,,
,MDNCM10--L,DANCE COMPANY 10 Linear,Fine Arts,,,Regular,13,,13,,29,,1.0
,,,,,,,,0,,,,,
,MDNCM11--L,DANCE COMPANY 11 Linear,Fine Arts,,,Regular,16,,16,,29,,1.0
,,,,,,,,0,,,,,
,MDNCM12--L,DANCE COMPANY 12 Linear,Fine Arts,,,Regular,18,,18,,29,,1.0
,,,,,,,,0,,,,,
,MDNCN11---,DANCE CONDITIONING 11,Fine Arts,,,Regular,5,,9,,29,,1.0
,,,,,,,,4,,,,,
,MDNCN12---,DANCE CONDITIONING 12,Fine Arts,,,Regular,5,,13,,29,,1.0
,,,,,,,,8,,,,,
,MDNTP10---,DANCE TECHNIQUE AND PERFORMANCE 10,Fine Arts,,,Regular,5,,6,,29,,1.0
,,,,,,,,1,,,,,
,MDNTP11---,DANCE TECHNIQUE AND PERFORMANCE 11,Fine Arts,,,Regular,8,,10,,29,,1.0
,,,,,,,,2,,,,,
,MDNTP12---,DANCE TECHNIQUE AND PERFORMANCE 12,Fine Arts,,,Regular,13,,13,,29,,1.0
,,,,,,,,0,,,,,
Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,,,,,Course Tally,,,,,,,,
,,,,2025-2026,,,,,,,,,
Page 4,,,,,,,,,,,,"April 29, 2025",
,Number,Description,Department,,,Lvl,Primary,Alternate,Total,,Enrollment Max,,Section Count
,MDR--09---,DRAMA 9,Fine Arts,,,Regular,13,,25,,29,,1.0
,,,,,,,,12,,,,,
,MDRM-10---,DRAMA 10,Fine Arts,,,Regular,15,,21,,29,,1.0
,,,,,,,,6,,,,,
,MDRM-11---,DRAMA 11,Fine Arts,,,Regular,20,,26,,29,,1.0
,,,,,,,,6,,,,,
,MDRM-12---,DRAMA 12,Fine Arts,,,Regular,18,,19,,29,,1.0
,,,,,,,,1,,,,,
,MEC--12---,ECONOMICS 12,Business Education,,,Regular,31,,48,,29,,1.0
,,,,,,,,17,,,,,
,MEFLS10---,EFP LITERARY STUDIES 10,English,,,Regular,1,,1,,24,,4.0
,,,,,,,,0,,,,,
,MEFWR10---,EFP WRITING 10,English,,,Regular,99,,99,,24,,4.0
,,,,,,,,0,,,,,
,MEN--09---,ENGLISH LANGUAGE ARTS 9,English,,,Regular,128,,128,,24,,5.0
,,,,,,,,0,,,,,
,MEN--09C--,ENGLISH LANGUAGE ARTS 9 CHALLENGE,English,,,Regular,45,,45,,24,,2.0
,,,,,,,,0,,,,,
,MEN--09E--,ENGLISH 9 FOR ELL,English,,,Regular,12,,12,,24,,1.0
,,,,,,,,0,,,,,
,MENFP12---,ENGLISH FIRST PEOPLES 12,English,,,Regular,73,,73,,24,,3.0
,,,,,,,,0,,,,,
,MENFP12--Y,ENGLISH FIRST PEOPLES 12 Year,English,,,Regular,20,,20,,24,,1.0
,,,,,,,,0,,,,,
,MENR-11---,ENGINEERING 11,Applied Skills,,,,17,,28,,24,,6.0
,,,,,,,,11,,,,,
,MENR-12---,ENGINEERING 12,Applied Skills,,,,22,,32,,24,,6.0
,,,,,,,,10,,,,,
,MENST12---,ENGLISH STUDIES 12,English,,,Regular,73,,73,,24,,3.0
,,,,,,,,0,,,,,
,MENST12C--,ENGLISH STUDIES 12 CHALLENGE,English,,,Regular,23,,23,,24,,1.0
,,,,,,,,0,,,,,
,MENT-12---,ENTREPRENEURSHIP 12,Business Education,,,Regular,25,,36,,29,,1.0
,,,,,,,,11,,,,,
Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,,,,,Course Tally,,,,,,,,
,,,,2025-2026,,,,,,,,,
Page 5,,,,,,,,,,,,"April 29, 2025",
,Number,Description,Department,,,Lvl,Primary,Alternate,Total,,Enrollment Max,,Section Count
,MEPSS11---,EXPLORATIONS IN SOCIAL STUDIES 11,Social Studies,,,Regular,64,,66,,24,,3.0
,,,,,,,,2,,,,,
,MEVSC11---,ENVIRONMENTAL SCIENCE 11,Science,,,Regular,35,,39,,23,,2.0
,,,,,,,,4,,,,,
,MEVSC12C--,ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE,Science,,,Regular,29,,39,,23,,1.0
,,,,,,,,10,,,,,
,MFMP-10---,FOUNDATIONS OF MATH AND PRE-CALCULUS 10,Mathematics,,,Regular,107,,107,,29,,4.0
,,,,,,,,0,,,,,
,MFMP-10C--,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE,Mathematics,,,Regular,45,,45,,29,,2.0
,,,,,,,,0,,,,,
,MFMP-10H--,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS,Mathematics,,,Regular,30,,30,,29,,1.0
,,,,,,,,0,,,,,
,MFOM-11---,FOUNDATIONS OF MATHEMATICS 11,Mathematics,,,Regular,30,,31,,29,,1.0
,,,,,,,,1,,,,,
,MFOOD10---,ADST –  FOOD STUDIES 10,Applied Skills,,,Regular,91,,117,,23,,3.0
,,,,,,,,26,,,,,
,MFOOD11---,FOOD STUDIES 11,Applied Skills,,,Regular,68,,103,,23,,4.0
,,,,,,,,35,,,,,
,MFOOD12---,FOOD STUDIES 12,Applied Skills,,,Regular,61,,83,,23,,4.0
,,,,,,,,22,,,,,
,MFR--09---,FRENCH 9,Modern Languages,,,Regular,21,,30,,29,,2.0
,,,,,,,,9,,,,,
,MFR--10---,FRENCH 10,Modern Languages,,,Regular,23,,31,,29,,2.0
,,,,,,,,8,,,,,
,MFR--11---,FRENCH 11,Modern Languages,,,Regular,35,,40,,29,,2.0
,,,,,,,,5,,,,,
,MFR--12---,FRENCH 12,Modern Languages,,,Regular,14,,17,,29,,2.0
,,,,,,,,3,,,,,
,MFTCD11---,FITNESS AND CONDITIONING 11,Physical Education,,,Regular,6,,12,,29,,1.0
,,,,,,,,6,,,,,
,MFTCD12---,FITNESS AND CONDITIONING 12,Physical Education,,,Regular,16,,18,,29,,1.0
,,,,,,,,2,,,,,
,MGMT-12L--,GEOMETRY 12,Mathematics,,,Regular,26,,26,,29,,1.0
,,,,,,,,0,,,,,
Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,,,,,Course Tally,,,,,,,,
,,,,2025-2026,,,,,,,,,
Page 6,,,,,,,,,,,,"April 29, 2025",
,Number,Description,Department,,,Lvl,Primary,Alternate,Total,,Enrollment Max,,Section Count
,MGRPR11--L,GRAPHIC PRODUCTION 11 LINEAR,Applied Skills,,,Regular,10,,10,,50,,1.0
,,,,,,,,0,,,,,
,MGRPR12--L,GRAPHIC PRODUCTION 12 LINEAR,Applied Skills,,,Regular,9,,9,,50,,1.0
,,,,,,,,0,,,,,
,MIDS-0B---,INDEPENDENT DIRECTED STUDIES 10B,Personal Development,,,Regular,8,,11,,29,,1.0
,,,,,,,,3,,,,,
,MIDS-0C---,INDEPENDENT DIRECTED STUDIES 10C,Personal Development,,,Regular,19,,19,,50,,1.0
,,,,,,,,0,,,,,
,MIMCB11--L,INSTRUMENTAL MUSIC 11: CONCERT BAND LINEAR,Band,,,Regular,24,,25,,100,,1.0
,,,,,,,,1,,,,,
,MIMCB12--L,INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR,Band,,,Regular,12,,12,,100,,1.0
,,,,,,,,0,,,,,
,MIMG-12---,INSTRUMENTAL MUSIC 12: GUITAR,Music,,,Regular,10,,14,,29,,2.0
,,,,,,,,4,,,,,
,MIMJB11--L,INSTRUMENTAL MUSIC 11: JAZZ BAND LINEAR,Band,,,Regular,13,,13,,100,,2.0
,,,,,,,,0,,,,,
,MIMJB12--L,INSTRUMENTAL MUSIC 12: JAZZ BAND LINEAR,Band,,,Regular,6,,6,,100,,2.0
,,,,,,,,0,,,,,
,MINST12---,CONTEMPORARY INDIGENOUS STUDIES 12,Social Studies,,,Regular,44,,45,,24,,2.0
,,,,,,,,1,,,,,
,MINST12C--,CONTEMPORARY INDIGENOUS STUDIES 12 CHALLENGE,Social Studies,,,Regular,45,,45,,24,,2.0
,,,,,,,,0,,,,,
,MLFSC11---,LIFE SCIENCES 11,Science,,,Regular,82,,101,,23,,4.0
,,,,,,,,19,,,,,
,MLST-12---,LAW STUDIES 12,Social Studies,,,Regular,106,,124,,24,,4.0
,,,,,,,,18,,,,,
,MLTST11C--,LITERARY STUDIES 11 Challenge,English,,,Regular,45,,45,,24,,2.0
,,,,,,,,0,,,,,
,MLTST12---,LITERARY STUDIES 12,English,,,Regular,24,,24,,24,,1.0
,,,,,,,,0,,,,,
,MMA--09---,MATHEMATICS 9,Mathematics,,,Regular,105,,105,,29,,4.0
,,,,,,,,0,,,,,
,MMA--09C--,MATHEMATICS 9 CHALLENGE,Mathematics,,,Regular,45,,45,,29,,2.0
,,,,,,,,0,,,,,
Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,,,,,Course Tally,,,,,,,,
,,,,2025-2026,,,,,,,,,
Page 7,,,,,,,,,,,,"April 29, 2025",
,Number,Description,Department,,,Lvl,Primary,Alternate,Total,,Enrollment Max,,Section Count
,MMA--09H--,MATHEMATICS 9 HONOURS,Mathematics,,,Regular,30,,30,,29,,1.0
,,,,,,,,0,,,,,
,MMACS11---,COMPUTER SCIENCE 11,Mathematics,,,Regular,55,,65,,24,,2.0
,,,,,,,,10,,,,,
,MMACS12---,COMPUTER SCIENCE 12,Mathematics,,,Regular,44,,48,,24,,2.0
,,,,,,,,4,,,,,
,MMAP-11---,MARKETING AND PROMOTION 11,Applied Skills,,,Regular,30,,64,,29,,1.0
,,,,,,,,34,,,,,
,MMEDD10---,ADST – MEDIA DESIGN 10,Information Tech,,,Regular,21,,42,,24,,2.0
,,,,,,,,21,,,,,
,MMEDD11---,MEDIA DESIGN 11,Information Tech,,,Regular,7,,15,,24,,2.0
,,,,,,,,8,,,,,
