Blocking Type,Course 1,Course 2,Course 3,Course 4
Simultaneous,AP COMPUTER SCIENCE A 12,COMPUTER SCIENCE 12,,
Simultaneous,ACCOUNTING 11,ACCOUNTING 12,,
Simultaneous,ACTIVE LIVING 11,ACTIVE LIVING 12,,
Simultaneous,ADST - Drafting 9,ADST � DRAFTING 10,DRAFTING 11,DRAFTING 12
Simultaneous,ADST - Electronics and Robotics,ADST � ELECTRONICS AND ROBOTICS 10,ROBOTICS 11,ROBOTICS 12
Simultaneous,ADST 9 - General Explorations (Modules),ENGINEERING 11,ENGINEERING 12,ADST-Technology Explorations 10
Simultaneous,ADST-Information and Communications Technologies 9,Information and Communications Technologies 10,,
Simultaneous,ADST - Textiles 9,TEXTILES 10,TEXTILES 11,TEXTILES 12
Simultaneous,ADST - Woodwork 9,ADST –  WOODWORK 10,WOODWORK 11,WOODWORK 12
Simultaneous,INTRODUCTORY SPANISH 11,SPANISH 9,,
Simultaneous,CHORAL MUSIC 11: CONCERT CHOIR Linear,CHORAL MUSIC: CONCERT CHOIR 10 Linear,CONCERT CHOIR 9 Linear,
Simultaneous,COMPOSITION 11,COMPOSITION 11,,
Simultaneous,DANCE FOUNDATIONS 10,DANCE FOUNDATIONS 11,DANCE FOUNDATIONS 12,DANCE 9 Foundations
Simultaneous,DANCE 9 Choreography Linear,DANCE 10: CHOREOGRAPHY Linear,DANCE 11: CHOREOGRAPHY Linear,DANCE 12: CHOREOGRAPHY Linear
Simultaneous,DANCE 9 HIP HOP,DANCE CONDITIONING 11,DANCE CONDITIONING 12,INDEPENDENT DIRECTED STUDIES 10B
Simultaneous,DANCE 9 Company: Platform 61 Linear,DANCE COMPANY 10 Linear,DANCE COMPANY 11 Linear,DANCE COMPANY 12 Linear
Simultaneous,DANCE TECHNIQUE AND PERFORMANCE 10,DANCE 9 Performance and Technique,,
Simultaneous,DANCE TECHNIQUE AND PERFORMANCE 11,DANCE TECHNIQUE AND PERFORMANCE 12,,
Simultaneous,DRAMA 9,DRAMA 10,,
Simultaneous,DRAMA 10,DRAMA 11,DRAMA 12,
Simultaneous,DRAMA 11,DRAMA 12,,
Simultaneous,FOOD STUDIES 11,FOOD STUDIES 12,,
Simultaneous,FRENCH 9,FRENCH 10,,
Simultaneous,FRENCH 11,FRENCH 12,,
Simultaneous,FITNESS AND CONDITIONING 11,FITNESS AND CONDITIONING 12,,
Simultaneous,INSTRUMENTAL MUSIC 11: CONCERT BAND LINEAR,INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR,,
Simultaneous,INSTRUMENTAL MUSIC 11: JAZZ BAND LINEAR,INSTRUMENTAL MUSIC 12: JAZZ BAND LINEAR,,
Simultaneous,COMPUTER SCIENCE 11,COMPUTER SCIENCE 12,,
Simultaneous,ADST – MEDIA DESIGN 10,MEDIA DESIGN 11,MEDIA DESIGN 12,
NotSimultaneous,INSTRUMENTAL MUSIC: CONCERT BAND 10 Linear,PHYSICAL AND HEALTH EDUCATION 10 LINEAR,,
NotSimultaneous,INSTRUMENTAL MUSIC: CONCERT BAND 10 Linear,PHYSICAL AND HEALTH EDUCATION 10 LINEAR,,
Simultaneous,INSTRUMENTAL MUSIC: ORCHESTRA 10 Strings LINEAR,INSTRUMENTAL MUSIC: ORCHESTRA 11 Strings Linear,INSTRUMENTAL MUSIC: ORCHESTRA 12 Strings Linear,STRINGS 9 LINEAR
Simultaneous,OUTDOOR EDUCATION 11,OUTDOOR EDUCATION 12,OUTDOOR EDUCATION 10,
Simultaneous,PHYSICAL AND HEALTH EDUCATION 9,PHYSICAL AND HEALTH EDUCATION 10,,
Simultaneous,PHYSICAL AND HEALTH EDUCATION 9 Boys,PHYSICAL AND HEALTH EDUCATION 10 Boys,,
Simultaneous,PHYSICAL AND HEALTH EDUCATION 9 Girls,PHYSICAL AND HEALTH EDUCATION 10 Girls,,
Simultaneous,PHYSICAL AND HEALTH EDUCATION 9 Yoga for Mindfulns,YOGA FOR MINDFULNESS 10,YOGA FOR MINDFULNESS 11,YOGA FOR MINDFULNESS 12
NotSimultaneous,PHYSICAL AND HEALTH EDUCATION 10 LINEAR,LEARNING STRATEGIES 10 LINEAR,,
Simultaneous,SPANISH 10,SPANISH 11,,
Simultaneous,SPANISH 11,SPANISH 12,,
Simultaneous,AUTOMOTIVE TECHNOLOGY 11,AUTOMOTIVE TECHNOLOGY 12,,
Simultaneous,DRAFTING 12,ADST - Drafting 9,ADST –  DRAFTING 10,DRAFTING 11
Simultaneous,ADST –  POWER TECHNOLOGY 10,TECH ED 9: MECHANICS LD,,
Simultaneous,VISUAL ARTS: PHOTOGRAPHY 10,PHOTOGRAPHY 11,PHOTOGRAPHY 12,
Simultaneous,VISUAL ARTS: ART STUDIO 10,VISUAL ARTS 9,ART STUDIO 11,ART STUDIO 12
Simultaneous,ART STUDIO 11,ART STUDIO 12,VISUAL ARTS: ART STUDIO 10,
Simultaneous,CONCERT BAND 9 Linear,CONCERT BAND 9 Linear,,
NotSimultaneous,CONCERT BAND 9 Linear,PHYSICAL AND HEALTH EDUCATION 9 Linear,,
Consecutive,LEARNING STRATEGIES 9 LD,LEARNING STRATEGIES 10,LEARNING STRATEGIES 11,LEARNING STRATEGIES 12
Simultaneous,COMMUNITY LEADERSHIP 10 Linear,COMMUNITY LEADERSHIP 11 Linear,COMMUNITY LEADERSHIP 12 Linear,
Simultaneous,COMMUNITY LEADERSHIP 10,COMMUNITY LEADERSHIP 11,COMMUNITY LEADERSHIP 12,
Simultaneous,PEER TUTORING 10 LINEAR,PEER TUTORING 11 LINEAR,PEER TUTORING 12 LINEAR,